Date,SKU,Quantity,Revenue,Current_Stock
2022-01-01,TSHIRT-001,5,100,206
2022-01-02,TSHIRT-001,4,80,171
2022-01-03,TSHIRT-001,4,80,314
2022-01-04,TSHIRT-001,5,100,430
2022-01-05,TSHIRT-001,3,60,459
2022-01-06,TSHIRT-001,4,80,251
2022-01-07,TSHIRT-001,4,80,443
2022-01-08,TSHIRT-001,5,100,393
2022-01-09,TSHIRT-001,6,120,352
2022-01-10,TSHIRT-001,6,120,335
2022-01-11,TSHIRT-001,5,100,269
2022-01-12,TSHIRT-001,5,100,287
2022-01-13,TSHIRT-001,4,80,274
2022-01-14,TSHIRT-001,3,60,150
2022-01-15,TSHIRT-001,5,100,230
2022-01-16,TSHIRT-001,5,100,406
2022-01-17,TSHIRT-001,5,100,373
2022-01-18,TSHIRT-001,7,140,487
2022-01-19,TSHIRT-001,5,100,364
2022-01-20,TSHIRT-001,6,120,445
2022-01-21,TSHIRT-001,6,120,466
2022-01-22,TSHIRT-001,5,100,363
2022-01-23,TSHIRT-001,6,120,101
2022-01-24,TSHIRT-001,4,80,489
2022-01-25,TSHIRT-001,6,120,290
2022-01-26,TSHIRT-001,4,80,317
2022-01-27,TSHIRT-001,4,80,369
2022-01-28,TSHIRT-001,5,100,450
2022-01-29,TSHIRT-001,5,100,437
2022-01-30,TSHIRT-001,4,80,466
2022-01-31,TSHIRT-001,5,100,351
2022-02-01,TSHIRT-001,7,140,287
2022-02-02,TSHIRT-001,5,100,114
2022-02-03,TSHIRT-001,6,120,400
2022-02-04,TSHIRT-001,5,100,162
2022-02-05,TSHIRT-001,7,140,238
2022-02-06,TSHIRT-001,7,140,388
2022-02-07,TSHIRT-001,5,100,478
2022-02-08,TSHIRT-001,6,120,140
2022-02-09,TSHIRT-001,5,100,127
2022-02-10,TSHIRT-001,6,120,132
2022-02-11,TSHIRT-001,7,140,147
2022-02-12,TSHIRT-001,8,160,392
2022-02-13,TSHIRT-001,5,100,198
2022-02-14,TSHIRT-001,5,100,134
2022-02-15,TSHIRT-001,7,140,326
2022-02-16,TSHIRT-001,7,140,356
2022-02-17,TSHIRT-001,6,120,104
2022-02-18,TSHIRT-001,8,160,458
2022-02-19,TSHIRT-001,7,140,382
2022-02-20,TSHIRT-001,4,80,141
2022-02-21,TSHIRT-001,7,140,479
2022-02-22,TSHIRT-001,5,100,195
2022-02-23,TSHIRT-001,8,160,487
2022-02-24,TSHIRT-001,6,120,336
2022-02-25,TSHIRT-001,7,140,242
2022-02-26,TSHIRT-001,6,120,259
2022-02-27,TSHIRT-001,7,140,426
2022-02-28,TSHIRT-001,6,120,165
2022-03-01,TSHIRT-001,6,120,269
2022-03-02,TSHIRT-001,7,140,233
2022-03-03,TSHIRT-001,8,160,383
2022-03-04,TSHIRT-001,6,120,385
2022-03-05,TSHIRT-001,7,140,430
2022-03-06,TSHIRT-001,6,120,330
2022-03-07,TSHIRT-001,6,120,289
2022-03-08,TSHIRT-001,7,140,220
2022-03-09,TSHIRT-001,6,120,215
2022-03-10,TSHIRT-001,5,100,297
2022-03-11,TSHIRT-001,6,120,236
2022-03-12,TSHIRT-001,9,180,333
2022-03-13,TSHIRT-001,7,140,271
2022-03-14,TSHIRT-001,6,120,259
2022-03-15,TSHIRT-001,6,120,195
2022-03-16,TSHIRT-001,5,100,417
2022-03-17,TSHIRT-001,8,160,151
2022-03-18,TSHIRT-001,8,160,486
2022-03-19,TSHIRT-001,6,120,212
2022-03-20,TSHIRT-001,6,120,323
